Comment,Designator,Footprint,LCSC Part #
0.1µ,C2,C0402,C285034
1N4007,D1,SMA-DO214AC,C727081
1μ,C1,C0402,C83063
MYPARTS_NJM7800S-REGULATOR,REG1,MYPARTS_D-PAK_TO252AA,
WS2812B_2020,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24,WS2812B_2020,C965555
